Arch,Angle,Trial,Method,Deflection
1,0,1,AMO,66.5
1,15,1,AMO,66.6
1,30,1,AMO,66.3
1,45,1,AMO,66.2
1,60,1,AMO,66.2
1,75,1,AMO,66.3
1,90,1,AMO,66.3
1,105,1,AMO,66.5
1,120,1,AMO,66.4
1,135,1,AMO,66.4
1,150,1,AMO,66.7
1,165,1,AMO,66.7
1,180,1,AMO,66.5
1,195,1,AMO,66.8
1,210,1,AMO,66.9
1,225,1,AMO,66.5
1,240,1,AMO,66.4
1,255,1,AMO,66.5
1,270,1,AMO,66.6
1,285,1,AMO,66.6
1,300,1,AMO,66.7
1,315,1,AMO,66.4
1,330,1,AMO,66.6
1,345,1,AMO,66.6
1,0,1,ASTM,474.0
1,15,1,ASTM,473.0
1,30,1,ASTM,475.0
1,45,1,ASTM,476.0
1,60,1,ASTM,477.0
1,75,1,ASTM,475.0
1,90,1,ASTM,475.0
1,105,1,ASTM,474.0
1,120,1,ASTM,474.0
1,135,1,ASTM,474.0
1,150,1,ASTM,472.0
1,165,1,ASTM,472.0
1,180,1,ASTM,474.0
1,195,1,ASTM,472.0
1,210,1,ASTM,471.0
1,225,1,ASTM,474.0
1,240,1,ASTM,474.0
1,255,1,ASTM,474.0
1,270,1,ASTM,473.0
1,285,1,ASTM,473.0
1,300,1,ASTM,472.0
1,315,1,ASTM,474.0
1,330,1,ASTM,473.0
1,345,1,ASTM,473.0
1,0,2,AMO,66.3
1,15,2,AMO,66.4
1,30,2,AMO,66.8
1,45,2,AMO,66.2
1,60,2,AMO,66.2
1,75,2,AMO,66.3
1,90,2,AMO,66.5
1,105,2,AMO,66.3
1,120,2,AMO,66.5
1,135,2,AMO,66.4
1,150,2,AMO,66.6
1,165,2,AMO,66.8
1,180,2,AMO,66.5
1,195,2,AMO,66.4
1,210,2,AMO,66.6
1,225,2,AMO,66.8
1,240,2,AMO,66.5
1,255,2,AMO,66.7
1,270,2,AMO,66.5
1,285,2,AMO,66.7
1,300,2,AMO,66.7
1,315,2,AMO,66.9
1,330,2,AMO,66.6
1,345,2,AMO,66.4
1,0,2,ASTM,476.0
1,15,2,ASTM,475.0
1,30,2,ASTM,471.0
1,45,2,ASTM,474.0
1,60,2,ASTM,475.0
1,75,2,ASTM,476.0
1,90,2,ASTM,476.0
1,105,2,ASTM,476.0
1,120,2,ASTM,474.0
1,135,2,ASTM,473.0
1,150,2,ASTM,471.0
1,165,2,ASTM,476.0
1,180,2,ASTM,472.0
1,195,2,ASTM,474.0
1,210,2,ASTM,476.0
1,225,2,ASTM,475.0
1,240,2,ASTM,474.0
1,255,2,ASTM,476.0
1,270,2,ASTM,476.0
1,285,2,ASTM,475.0
1,300,2,ASTM,473.0
1,315,2,ASTM,475.0
1,330,2,ASTM,472.0
1,345,2,ASTM,471.0
1,0,3,AMO,66.0
1,15,3,AMO,66.5
1,30,3,AMO,66.6
1,45,3,AMO,66.4
1,60,3,AMO,66.6
1,75,3,AMO,66.4
1,90,3,AMO,66.4
1,105,3,AMO,66.3
1,120,3,AMO,66.5
1,135,3,AMO,66.6
1,150,3,AMO,66.3
1,165,3,AMO,66.8
1,180,3,AMO,66.5
1,195,3,AMO,66.1
1,210,3,AMO,66.3
1,225,3,AMO,66.2
1,240,3,AMO,66.6
1,255,3,AMO,66.3
1,270,3,AMO,66.5
1,285,3,AMO,66.3
1,300,3,AMO,66.3
1,315,3,AMO,66.3
1,330,3,AMO,66.7
1,345,3,AMO,66.4
1,0,3,ASTM,477.0
1,15,3,ASTM,474.0
1,30,3,ASTM,473.0
1,45,3,ASTM,474.0
1,60,3,ASTM,473.0
1,75,3,ASTM,474.0
1,90,3,ASTM,475.0
1,105,3,ASTM,473.0
1,120,3,ASTM,473.0
1,135,3,ASTM,473.0
1,150,3,ASTM,475.0
1,165,3,ASTM,472.0
1,180,3,ASTM,474.0
1,195,3,ASTM,476.0
1,210,3,ASTM,474.0
1,225,3,ASTM,476.0
1,240,3,ASTM,473.0
1,255,3,ASTM,475.0
1,270,3,ASTM,474.0
1,285,3,ASTM,475.0
1,300,3,ASTM,476.0
1,315,3,ASTM,475.0
1,330,3,ASTM,472.0
1,345,3,ASTM,474.0
1,0,4,AMO,66.3
1,15,4,AMO,66.3
1,30,4,AMO,66.9
1,45,4,AMO,66.4
1,60,4,AMO,66.3
1,75,4,AMO,66.2
1,90,4,AMO,66.2
1,105,4,AMO,66.2
1,120,4,AMO,66.4
1,135,4,AMO,66.6
1,150,4,AMO,66.9
1,165,4,AMO,66.2
1,180,4,AMO,66.7
1,195,4,AMO,66.4
1,210,4,AMO,66.1
1,225,4,AMO,66.3
1,240,4,AMO,66.5
1,255,4,AMO,66.2
1,270,4,AMO,66.2
1,285,4,AMO,66.4
1,300,4,AMO,66.6
1,315,4,AMO,66.4
1,330,4,AMO,66.8
1,345,4,AMO,66.8
1,0,4,ASTM,476.0
1,15,4,ASTM,475.0
1,30,4,ASTM,471.0
1,45,4,ASTM,474.0
1,60,4,ASTM,475.0
1,75,4,ASTM,476.0
1,90,4,ASTM,476.0
1,105,4,ASTM,476.0
1,120,4,ASTM,474.0
1,135,4,ASTM,473.0
1,150,4,ASTM,471.0
1,165,4,ASTM,476.0
1,180,4,ASTM,472.0
1,195,4,ASTM,474.0
1,210,4,ASTM,476.0
1,225,4,ASTM,475.0
1,240,4,ASTM,474.0
1,255,4,ASTM,476.0
1,270,4,ASTM,476.0
1,285,4,ASTM,475.0
1,300,4,ASTM,473.0
1,315,4,ASTM,475.0
1,330,4,ASTM,472.0
1,345,4,ASTM,471.0
1,0,5,AMO,66.0
1,15,5,AMO,66.5
1,30,5,AMO,66.6
1,45,5,AMO,66.4
1,60,5,AMO,66.6
1,75,5,AMO,66.4
1,90,5,AMO,66.4
1,105,5,AMO,66.3
1,120,5,AMO,66.5
1,135,5,AMO,66.6
1,150,5,AMO,66.3
1,165,5,AMO,66.8
1,180,5,AMO,66.5
1,195,5,AMO,66.1
1,210,5,AMO,66.3
1,225,5,AMO,66.2
1,240,5,AMO,66.6
1,255,5,AMO,66.3
1,270,5,AMO,66.5
1,285,5,AMO,66.3
1,300,5,AMO,66.3
1,315,5,AMO,66.3
1,330,5,AMO,66.7
1,345,5,AMO,66.4
1,0,5,ASTM,477.0
1,15,5,ASTM,474.0
1,30,5,ASTM,473.0
1,45,5,ASTM,474.0
1,60,5,ASTM,473.0
1,75,5,ASTM,474.0
1,90,5,ASTM,475.0
1,105,5,ASTM,473.0
1,120,5,ASTM,473.0
1,135,5,ASTM,473.0
1,150,5,ASTM,475.0
1,165,5,ASTM,472.0
1,180,5,ASTM,474.0
1,195,5,ASTM,476.0
1,210,5,ASTM,474.0
1,225,5,ASTM,476.0
1,240,5,ASTM,473.0
1,255,5,ASTM,475.0
1,270,5,ASTM,474.0
1,285,5,ASTM,475.0
1,300,5,ASTM,476.0
1,315,5,ASTM,475.0
1,330,5,ASTM,472.0
1,345,5,ASTM,474.0
2,0,1,AMO,64.3
2,15,1,AMO,64.3
2,30,1,AMO,64.2
2,45,1,AMO,64.5
2,60,1,AMO,64.4
2,75,1,AMO,64.6
2,90,1,AMO,64.5
2,105,1,AMO,64.7
2,120,1,AMO,64.6
2,135,1,AMO,64.6
2,150,1,AMO,64.6
2,165,1,AMO,64.5
2,180,1,AMO,64.4
2,195,1,AMO,64.5
2,210,1,AMO,64.6
2,225,1,AMO,64.7
2,240,1,AMO,64.6
2,255,1,AMO,64.8
2,270,1,AMO,64.4
2,285,1,AMO,64.6
2,300,1,AMO,64.5
2,315,1,AMO,64.5
2,330,1,AMO,64.3
2,345,1,AMO,64.5
2,0,1,ASTM,490.0
2,15,1,ASTM,490.0
2,30,1,ASTM,491.0
2,45,1,ASTM,489.0
2,60,1,ASTM,489.0
2,75,1,ASTM,487.0
2,90,1,ASTM,488.0
2,105,1,ASTM,487.0
2,120,1,ASTM,487.0
2,135,1,ASTM,488.0
2,150,1,ASTM,487.0
2,165,1,ASTM,488.0
2,180,1,ASTM,489.0
2,195,1,ASTM,489.0
2,210,1,ASTM,488.0
2,225,1,ASTM,487.0
2,240,1,ASTM,488.0
2,255,1,ASTM,486.0
2,270,1,ASTM,489.0
2,285,1,ASTM,488.0
2,300,1,ASTM,488.0
2,315,1,ASTM,488.0
2,330,1,ASTM,490.0
2,345,1,ASTM,489.0
2,0,2,AMO,64.2
2,15,2,AMO,64.3
2,30,2,AMO,64.4
2,45,2,AMO,64.3
2,60,2,AMO,64.5
2,75,2,AMO,64.6
2,90,2,AMO,64.4
2,105,2,AMO,64.7
2,120,2,AMO,64.6
2,135,2,AMO,64.5
2,150,2,AMO,64.5
2,165,2,AMO,64.4
2,180,2,AMO,64.4
2,195,2,AMO,64.3
2,210,2,AMO,64.6
2,225,2,AMO,64.7
2,240,2,AMO,64.5
2,255,2,AMO,64.8
2,270,2,AMO,64.6
2,285,2,AMO,64.4
2,300,2,AMO,64.7
2,315,2,AMO,64.7
2,330,2,AMO,64.8
2,345,2,AMO,64.8
2,0,2,ASTM,491.0
2,15,2,ASTM,490.0
2,30,2,ASTM,489.0
2,45,2,ASTM,490.0
2,60,2,ASTM,488.0
2,75,2,ASTM,487.0
2,90,2,ASTM,489.0
2,105,2,ASTM,487.0
2,120,2,ASTM,488.0
2,135,2,ASTM,488.0
2,150,2,ASTM,488.0
2,165,2,ASTM,489.0
2,180,2,ASTM,489.0
2,195,2,ASTM,490.0
2,210,2,ASTM,487.0
2,225,2,ASTM,487.0
2,240,2,ASTM,488.0
2,255,2,ASTM,486.0
2,270,2,ASTM,488.0
2,285,2,ASTM,490.0
2,300,2,ASTM,487.0
2,315,2,ASTM,487.0
2,330,2,ASTM,486.0
2,345,2,ASTM,488.0
2,0,3,AMO,64.1
2,15,3,AMO,64.1
2,30,3,AMO,64.2
2,45,3,AMO,64.2
2,60,3,AMO,64.4
2,75,3,AMO,64.7
2,90,3,AMO,64.4
2,105,3,AMO,64.5
2,120,3,AMO,64.5
2,135,3,AMO,64.6
2,150,3,AMO,64.4
2,165,3,AMO,64.4
2,180,3,AMO,64.3
2,195,3,AMO,64.3
2,210,3,AMO,64.6
2,225,3,AMO,64.8
2,240,3,AMO,64.5
2,255,3,AMO,64.7
2,270,3,AMO,64.6
2,285,3,AMO,64.4
2,300,3,AMO,64.5
2,315,3,AMO,64.7
2,330,3,AMO,64.8
2,345,3,AMO,64.8
2,0,3,ASTM,492.0
2,15,3,ASTM,491.0
2,30,3,ASTM,490.0
2,45,3,ASTM,490.0
2,60,3,ASTM,489.0
2,75,3,ASTM,487.0
2,90,3,ASTM,490.0
2,105,3,ASTM,488.0
2,120,3,ASTM,488.0
2,135,3,ASTM,487.0
2,150,3,ASTM,489.0
2,165,3,ASTM,489.0
2,180,3,ASTM,490.0
2,195,3,ASTM,490.0
2,210,3,ASTM,487.0
2,225,3,ASTM,486.0
2,240,3,ASTM,488.0
2,255,3,ASTM,487.0
2,270,3,ASTM,487.0
2,285,3,ASTM,489.0
2,300,3,ASTM,489.0
2,315,3,ASTM,487.0
2,330,3,ASTM,486.0
2,345,3,ASTM,486.0
2,0,4,AMO,64.2
2,15,4,AMO,64.3
2,30,4,AMO,64.2
2,45,4,AMO,64.3
2,60,4,AMO,64.4
2,75,4,AMO,64.6
2,90,4,AMO,64.4
2,105,4,AMO,64.5
2,120,4,AMO,64.5
2,135,4,AMO,64.5
2,150,4,AMO,64.6
2,165,4,AMO,64.4
2,180,4,AMO,64.4
2,195,4,AMO,64.3
2,210,4,AMO,64.7
2,225,4,AMO,64.8
2,240,4,AMO,64.6
2,255,4,AMO,64.7
2,270,4,AMO,64.6
2,285,4,AMO,64.8
2,300,4,AMO,64.5
2,315,4,AMO,64.8
2,330,4,AMO,64.6
2,345,4,AMO,64.8
2,0,4,ASTM,491.0
2,15,4,ASTM,490.0
2,30,4,ASTM,491.0
2,45,4,ASTM,490.0
2,60,4,ASTM,489.0
2,75,4,ASTM,487.0
2,90,4,ASTM,489.0
2,105,4,ASTM,488.0
2,120,4,ASTM,489.0
2,135,4,ASTM,489.0
2,150,4,ASTM,488.0
2,165,4,ASTM,489.0
2,180,4,ASTM,489.0
2,195,4,ASTM,490.0
2,210,4,ASTM,487.0
2,225,4,ASTM,486.0
2,240,4,ASTM,488.0
2,255,4,ASTM,487.0
2,270,4,ASTM,488.0
2,285,4,ASTM,486.0
2,300,4,ASTM,488.0
2,315,4,ASTM,486.0
2,330,4,ASTM,487.0
2,345,4,ASTM,486.0
2,0,5,AMO,64.1
2,15,5,AMO,64.1
2,30,5,AMO,64.3
2,45,5,AMO,64.3
2,60,5,AMO,64.5
2,75,5,AMO,64.8
2,90,5,AMO,64.7
2,105,5,AMO,64.7
2,120,5,AMO,64.6
2,135,5,AMO,64.4
2,150,5,AMO,64.4
2,165,5,AMO,64.4
2,180,5,AMO,64.4
2,195,5,AMO,64.4
2,210,5,AMO,64.6
2,225,5,AMO,64.6
2,240,5,AMO,64.5
2,255,5,AMO,64.6
2,270,5,AMO,64.5
2,285,5,AMO,64.3
2,300,5,AMO,64.6
2,315,5,AMO,64.5
2,330,5,AMO,64.6
2,345,5,AMO,64.7
2,0,5,ASTM,492.0
2,15,5,ASTM,490.0
2,30,5,ASTM,490.0
2,45,5,ASTM,490.0
2,60,5,ASTM,488.0
2,75,5,ASTM,486.0
2,90,5,ASTM,487.0
2,105,5,ASTM,487.0
2,120,5,ASTM,488.0
2,135,5,ASTM,489.0
2,150,5,ASTM,489.0
2,165,5,ASTM,489.0
2,180,5,ASTM,489.0
2,195,5,ASTM,489.0
2,210,5,ASTM,487.0
2,225,5,ASTM,487.0
2,240,5,ASTM,488.0
2,255,5,ASTM,487.0
2,270,5,ASTM,488.0
2,285,5,ASTM,490.0
2,300,5,ASTM,488.0
2,315,5,ASTM,488.0
2,330,5,ASTM,488.0
2,345,5,ASTM,487.0
3,0,1,AMO,67.5
3,15,1,AMO,67.6
3,30,1,AMO,67.6
3,45,1,AMO,67.9
3,60,1,AMO,68.2
3,75,1,AMO,68.5
3,90,1,AMO,68.4
3,105,1,AMO,68.3
3,120,1,AMO,68.1
3,135,1,AMO,67.8
3,150,1,AMO,67.6
3,165,1,AMO,67.1
3,180,1,AMO,66.9
3,195,1,AMO,66.8
3,210,1,AMO,67.1
3,225,1,AMO,67.3
3,240,1,AMO,67.7
3,255,1,AMO,67.9
3,270,1,AMO,68.2
3,285,1,AMO,68.3
3,300,1,AMO,68.1
3,315,1,AMO,67.8
3,330,1,AMO,67.1
3,345,1,AMO,67.1
3,0,1,ASTM,467.0
3,15,1,ASTM,466.0
3,30,1,ASTM,466.0
3,45,1,ASTM,464.0
3,60,1,ASTM,462.0
3,75,1,ASTM,460.0
3,90,1,ASTM,460.0
3,105,1,ASTM,461.0
3,120,1,ASTM,463.0
3,135,1,ASTM,464.0
3,150,1,ASTM,466.0
3,165,1,ASTM,469.0
3,180,1,ASTM,471.0
3,195,1,ASTM,472.0
3,210,1,ASTM,470.0
3,225,1,ASTM,468.0
3,240,1,ASTM,465.0
3,255,1,ASTM,464.0
3,270,1,ASTM,462.0
3,285,1,ASTM,462.0
3,300,1,ASTM,463.0
3,315,1,ASTM,465.0
3,330,1,ASTM,469.0
3,345,1,ASTM,470.0
3,0,2,AMO,67.1
3,15,2,AMO,67.3
3,30,2,AMO,67.3
3,45,2,AMO,67.7
3,60,2,AMO,68.0
3,75,2,AMO,68.2
3,90,2,AMO,68.4
3,105,2,AMO,68.5
3,120,2,AMO,68.3
3,135,2,AMO,68.0
3,150,2,AMO,67.5
3,165,2,AMO,67.1
3,180,2,AMO,66.9
3,195,2,AMO,66.9
3,210,2,AMO,67.0
3,225,2,AMO,67.2
3,240,2,AMO,67.7
3,255,2,AMO,68.0
3,270,2,AMO,68.1
3,285,2,AMO,68.2
3,300,2,AMO,67.9
3,315,2,AMO,67.8
3,330,2,AMO,67.6
3,345,2,AMO,67.3
3,0,2,ASTM,470.0
3,15,2,ASTM,468.0
3,30,2,ASTM,468.0
3,45,2,ASTM,465.0
3,60,2,ASTM,463.0
3,75,2,ASTM,461.0
3,90,2,ASTM,460.0
3,105,2,ASTM,460.0
3,120,2,ASTM,461.0
3,135,2,ASTM,463.0
3,150,2,ASTM,467.0
3,165,2,ASTM,469.0
3,180,2,ASTM,471.0
3,195,2,ASTM,471.0
3,210,2,ASTM,470.0
3,225,2,ASTM,469.0
3,240,2,ASTM,466.0
3,255,2,ASTM,463.0
3,270,2,ASTM,463.0
3,285,2,ASTM,462.0
3,300,2,ASTM,464.0
3,315,2,ASTM,464.0
3,330,2,ASTM,466.0
3,345,2,ASTM,468.0
3,0,3,AMO,67.1
3,15,3,AMO,67.3
3,30,3,AMO,67.6
3,45,3,AMO,67.9
3,60,3,AMO,68.2
3,75,3,AMO,68.7
3,90,3,AMO,68.7
3,105,3,AMO,68.2
3,120,3,AMO,68.0
3,135,3,AMO,67.9
3,150,3,AMO,67.4
3,165,3,AMO,66.8
3,180,3,AMO,66.9
3,195,3,AMO,66.8
3,210,3,AMO,67.1
3,225,3,AMO,67.3
3,240,3,AMO,67.7
3,255,3,AMO,68.0
3,270,3,AMO,68.2
3,285,3,AMO,68.2
3,300,3,AMO,67.9
3,315,3,AMO,67.9
3,330,3,AMO,67.6
3,345,3,AMO,67.4
3,0,3,ASTM,469.0
3,15,3,ASTM,468.0
3,30,3,ASTM,466.0
3,45,3,ASTM,464.0
3,60,3,ASTM,462.0
3,75,3,ASTM,459.0
3,90,3,ASTM,459.0
3,105,3,ASTM,462.0
3,120,3,ASTM,463.0
3,135,3,ASTM,464.0
3,150,3,ASTM,467.0
3,165,3,ASTM,472.0
3,180,3,ASTM,471.0
3,195,3,ASTM,472.0
3,210,3,ASTM,470.0
3,225,3,ASTM,468.0
3,240,3,ASTM,465.0
3,255,3,ASTM,463.0
3,270,3,ASTM,462.0
3,285,3,ASTM,462.0
3,300,3,ASTM,463.0
3,315,3,ASTM,464.0
3,330,3,ASTM,466.0
3,345,3,ASTM,467.0
3,0,4,AMO,67.3
3,15,4,AMO,67.4
3,30,4,AMO,67.7
3,45,4,AMO,68.0
3,60,4,AMO,68.3
3,75,4,AMO,68.5
3,90,4,AMO,68.7
3,105,4,AMO,68.5
3,120,4,AMO,68.3
3,135,4,AMO,67.9
3,150,4,AMO,67.5
3,165,4,AMO,67.2
3,180,4,AMO,66.9
3,195,4,AMO,67.0
3,210,4,AMO,67.2
3,225,4,AMO,67.4
3,240,4,AMO,67.7
3,255,4,AMO,67.8
3,270,4,AMO,68.3
3,285,4,AMO,68.3
3,300,4,AMO,68.1
3,315,4,AMO,67.7
3,330,4,AMO,67.5
3,345,4,AMO,67.4
3,0,4,ASTM,468.0
3,15,4,ASTM,468.0
3,30,4,ASTM,466.0
3,45,4,ASTM,463.0
3,60,4,ASTM,461.0
3,75,4,ASTM,460.0
3,90,4,ASTM,459.0
3,105,4,ASTM,460.0
3,120,4,ASTM,461.0
3,135,4,ASTM,464.0
3,150,4,ASTM,467.0
3,165,4,ASTM,469.0
3,180,4,ASTM,471.0
3,195,4,ASTM,470.0
3,210,4,ASTM,469.0
3,225,4,ASTM,468.0
3,240,4,ASTM,465.0
3,255,4,ASTM,464.0
3,270,4,ASTM,461.0
3,285,4,ASTM,461.0
3,300,4,ASTM,463.0
3,315,4,ASTM,465.0
3,330,4,ASTM,467.0
3,345,4,ASTM,468.0
3,0,5,AMO,67.3
3,15,5,AMO,67.6
3,30,5,AMO,67.6
3,45,5,AMO,68.0
3,60,5,AMO,68.3
3,75,5,AMO,68.6
3,90,5,AMO,68.8
3,105,5,AMO,68.5
3,120,5,AMO,68.2
3,135,5,AMO,68.0
3,150,5,AMO,67.6
3,165,5,AMO,67.3
3,180,5,AMO,67.0
3,195,5,AMO,67.0
3,210,5,AMO,67.2
3,225,5,AMO,67.5
3,240,5,AMO,67.9
3,255,5,AMO,68.1
3,270,5,AMO,68.3
3,285,5,AMO,68.4
3,300,5,AMO,68.1
3,315,5,AMO,67.9
3,330,5,AMO,67.6
3,345,5,AMO,67.4
3,0,5,ASTM,468.0
3,15,5,ASTM,466.0
3,30,5,ASTM,466.0
3,45,5,ASTM,463.0
3,60,5,ASTM,461.0
3,75,5,ASTM,459.0
3,90,5,ASTM,458.0
3,105,5,ASTM,460.0
3,120,5,ASTM,462.0
3,135,5,ASTM,463.0
3,150,5,ASTM,466.0
3,165,5,ASTM,468.0
3,180,5,ASTM,470.0
3,195,5,ASTM,470.0
3,210,5,ASTM,469.0
3,225,5,ASTM,467.0
3,240,5,ASTM,464.0
3,255,5,ASTM,462.0
3,270,5,ASTM,461.0
3,285,5,ASTM,461.0
3,300,5,ASTM,463.0
3,315,5,ASTM,464.0
3,330,5,ASTM,466.0
3,345,5,ASTM,468.0
4,0,1,AMO,65.0
4,15,1,AMO,64.8
4,30,1,AMO,64.7
4,45,1,AMO,64.6
4,60,1,AMO,64.5
4,75,1,AMO,64.5
4,90,1,AMO,64.5
4,105,1,AMO,64.6
4,120,1,AMO,64.9
4,135,1,AMO,65.0
4,150,1,AMO,65.0
4,165,1,AMO,65.0
4,180,1,AMO,64.8
4,195,1,AMO,64.8
4,210,1,AMO,64.5
4,225,1,AMO,64.4
4,240,1,AMO,64.2
4,255,1,AMO,64.2
4,270,1,AMO,64.2
4,285,1,AMO,64.3
4,300,1,AMO,64.7
4,315,1,AMO,64.7
4,330,1,AMO,65.1
4,345,1,AMO,64.9
4,0,1,ASTM,485.0
4,15,1,ASTM,486.0
4,30,1,ASTM,487.0
4,45,1,ASTM,488.0
4,60,1,ASTM,488.0
4,75,1,ASTM,489.0
4,90,1,ASTM,488.0
4,105,1,ASTM,487.0
4,120,1,ASTM,486.0
4,135,1,ASTM,485.0
4,150,1,ASTM,485.0
4,165,1,ASTM,485.0
4,180,1,ASTM,486.0
4,195,1,ASTM,486.0
4,210,1,ASTM,488.0
4,225,1,ASTM,489.0
4,240,1,ASTM,491.0
4,255,1,ASTM,491.0
4,270,1,ASTM,491.0
4,285,1,ASTM,490.0
4,300,1,ASTM,487.0
4,315,1,ASTM,487.0
4,330,1,ASTM,484.0
4,345,1,ASTM,486.0
4,0,2,AMO,65.0
4,15,2,AMO,64.8
4,30,2,AMO,64.7
4,45,2,AMO,64.5
4,60,2,AMO,64.5
4,75,2,AMO,64.5
4,90,2,AMO,64.6
4,105,2,AMO,64.7
4,120,2,AMO,64.9
4,135,2,AMO,65.1
4,150,2,AMO,65.1
4,165,2,AMO,65.1
4,180,2,AMO,65.0
4,195,2,AMO,64.9
4,210,2,AMO,64.2
4,225,2,AMO,64.2
4,240,2,AMO,64.1
4,255,2,AMO,64.4
4,270,2,AMO,64.5
4,285,2,AMO,64.7
4,300,2,AMO,64.8
4,315,2,AMO,65.1
4,330,2,AMO,65.0
4,345,2,AMO,64.8
4,0,2,ASTM,485.0
4,15,2,ASTM,486.0
4,30,2,ASTM,487.0
4,45,2,ASTM,488.0
4,60,2,ASTM,488.0
4,75,2,ASTM,488.0
4,90,2,ASTM,488.0
4,105,2,ASTM,487.0
4,120,2,ASTM,486.0
4,135,2,ASTM,484.0
4,150,2,ASTM,484.0
4,165,2,ASTM,484.0
